sku,supplier,origin_region,distance_km,historical_avg_lead_time_days,order_quantity,unit_cost_usd,is_peak_season,actual_delay_days
HRDT-REVEAL-HIV,RANBAXY Fine Chemicals LTD.,Asia Pacific,8201.1,18.0,19,0.97,False,0.0
ARV-GENERIC-NEVIRAPINE,Aurobindo Pharma Limited,Asia Pacific,3813.6,120.0,1000,0.03,True,0.0
HRDT-DETERMINE-HIV-1-2,Abbott GmbH & Co. KG,Europe,6210.6,34.5,500,0.8,False,0.0
ARV-GENERIC-LAMIVUDINE,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Asia Pacific,3870.5,87.5,31920,0.07,False,0.0
ARV-GENERIC-STAVUDINE,Aurobindo Pharma Limited,Asia Pacific,4088.4,120.0,38000,0.05,False,0.0
ARV-GENERIC-ZIDOVUDINE,Aurobindo Pharma Limited,Asia Pacific,8241.3,120.0,416,0.02,False,0.0
ARV-STOCRIN-SUSTIVA-EFAVIRENZ,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Asia Pacific,8226.9,139.5,135,0.36,False,0.0
ARV-GENERIC-NEVIRAPINE,Aurobindo Pharma Limited,Asia Pacific,8321.2,120.0,16667,0.06,True,0.0
ARV-GENERIC-STAVUDINE,Aurobindo Pharma Limited,Asia Pacific,8200.0,120.0,273,0.03,True,0.0
ARV-ALUVIA-LOPINAVIR-RITONAVIR,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),North America,11070.7,78.0,2800,0.34,False,0.0
ARV-ALUVIA-LOPINAVIR-RITONAVIR,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Europe,6239.9,77.0,2800,0.34,False,0.0
HRDT-UNI-GOLD-HIV-1-2,"Trinity Biotech, Plc",Europe,6252.9,77.5,2500,2.0,False,0.0
HRDT-INSTANTCHEK-HIV-1-2,EY Laboratories,North America,11000.0,33.0,10,0.85,False,0.0
ARV-GENERIC-LAMIVUDINE-ZIDOVUDINE,CIPLA LIMITED,Asia Pacific,8808.1,67.0,10000,0.17,False,0.0
HRDT-DETERMINE-HIV-1-2,Abbott GmbH & Co. KG,Europe,9524.3,34.5,750,0.8,False,0.0
ARV-VIDEX-DIDANOSINE,BRISTOL-MYERS SQUIBB,Europe,6200.0,68.0,579,0.42,False,0.0
HRDT-DETERMINE-HIV-1-2,ACCOUN NIGERIA LIMITED,Europe,6200.0,30.0,1500,0.8,False,0.0
HRDT-FIRST-RESPONSE-HIV-1-2-O,Premier Medical Corporation Ltd.,Asia Pacific,8258.2,54.0,2000,0.55,False,0.0
ARV-VIDEX-DIDANOSINE,BRISTOL-MYERS SQUIBB,Europe,6210.0,55.0,712,0.06,False,0.0
HRDT-DETERMINE-HIV-1-2,Abbott GmbH & Co. KG,Europe,6221.1,37.0,1000,0.8,False,0.0
HRDT-STAT-PAK-HIV-1-2,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Asia Pacific,8386.8,33.0,7500,1.35,False,0.0
ARV-VIDEX-DIDANOSINE,BRISTOL-MYERS SQUIBB,Europe,6331.8,81.0,5513,0.42,False,0.0
ARV-GENERIC-NEVIRAPINE,Aurobindo Pharma Limited,Asia Pacific,3835.8,103.0,1000,0.01,False,0.0
ARV-ALUVIA-LOPINAVIR-RITONAVIR,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Europe,7809.1,54.0,500,0.68,False,0.0
HRDT-DETERMINE-HIV-1-2,"Orgenics, Ltd",Asia Pacific,16027.4,18.0,750,0.72,False,8.0
HRDT-ORAQUICK-HIV-1-2,Orasure Technologies Inc.,Asia Pacific,16009.6,30.0,25,3.5,False,0.0
HRDT-BIOLINE-HIV-1-2,"Standard Diagnostics, Inc.",Asia Pacific,8473.5,74.5,10000,0.8,False,0.0
HRDT-BIOLINE-HIV-1-2,"Standard Diagnostics, Inc.",Asia Pacific,8473.5,74.5,10000,0.8,True,0.0
HRDT-BIOLINE-HIV-1-2,"Standard Diagnostics, Inc.",Asia Pacific,8473.5,74.5,10000,0.8,True,0.0
ARV-GENERIC-STAVUDINE,Aurobindo Pharma Limited,Asia Pacific,8546.7,48.0,64000,0.03,True,0.0
HRDT-STAT-PAK-HIV-1-2,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Asia Pacific,8467.6,36.0,10000,1.35,False,0.0
ARV-RETROVIR-ZIDOVUDINE,"JSI R&T INSTITUTE, INC.",North America,11000.0,78.0,40,0.04,False,0.0
ARV-VIREAD-TENOFOVIR-DISOPROXIL-FUMARAT,"GILEAD SCIENCES IRELAND, INC.",Asia Pacific,3802.9,63.0,1000,0.57,False,0.0
ARV-GENERIC-ZIDOVUDINE,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Asia Pacific,3800.9,61.0,400,0.14,False,0.0
HRDT-GENERIC-HIV,"Orgenics, Ltd",Asia Pacific,8208.1,52.0,1500,0.01,False,0.0
HRDT-GENERIC-HIV,"Orgenics, Ltd",Asia Pacific,8200.0,89.0,650,0.01,False,0.0
ARV-ZERIT-STAVUDINE,"JSI R&T INSTITUTE, INC.",Europe,6200.0,17.0,200,0.01,False,0.0
HRDT-CAPILLUS-HIV-1-2,"Trinity Biotech, Plc",Europe,9500.0,77.5,2,1.39,False,0.0
HRDT-GENIE-HIV,BIO-RAD LABORATORIES (FRANCE),Asia Pacific,8241.7,111.0,476,1.9,False,0.0
HRDT-BIOLINE-HIV-1-2,"Standard Diagnostics, Inc.",Asia Pacific,8216.9,381.0,659,0.8,False,0.0
HRDT-GENERIC-HIV,"Orgenics, Ltd",Asia Pacific,16000.0,41.0,240,0.01,False,0.0
HRDT-GENERIC-HIV,"Orgenics, Ltd",Asia Pacific,16002.2,151.0,213,0.01,False,0.0
HRDT-CAPILLUS-HIV-1-2,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,Europe,6200.0,11.0,63,2.13,False,0.0
HRDT-DETERMINE-HIV-1-2,"Orgenics, Ltd",Asia Pacific,8230.6,245.0,1634,0.72,True,0.0
HRDT-STAT-PAK-HIV-1-2,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Asia Pacific,8239.6,35.0,1425,1.35,False,0.0
HRDT-DETERMINE-HIV-1-2,"Orgenics, Ltd",Asia Pacific,8202.7,78.0,142,0.72,False,0.0
ARV-GENERIC-EFAVIRENZ,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Asia Pacific,3824.9,64.0,8400,0.38,False,0.0
ARV-INVIRASE-SAQUINAVIR,S. BUYS WHOLESALER,Asia Pacific,8200.0,64.0,6,0.25,False,0.0
ARV-ZERIT-STAVUDINE,S. BUYS WHOLESALER,Europe,6200.0,64.0,600,0.01,False,0.0
ARV-VIDEX-DIDANOSINE,BRISTOL-MYERS SQUIBB,Europe,7806.3,103.0,400,0.12,False,0.0
ARV-VIDEX-DIDANOSINE,S. BUYS WHOLESALER,Europe,6200.0,21.0,6,0.21,False,0.0
HRDT-DETERMINE-HIV-1-2,"Orgenics, Ltd",Asia Pacific,8302.6,89.0,5498,0.8,False,0.0
HRDT-GENERIC-HIV,"Orgenics, Ltd",Asia Pacific,8200.0,89.0,5498,0.01,False,0.0
HRDT-UNI-GOLD-HIV-1-2,TURE PHARMACEUTICALS & MEDICAL SUPPLIES P.L.C.,Europe,6200.0,16.0,15,2.3,False,0.0
ARV-GENERIC-TENOFOVIR-DISOPROXIL-FUMARAT,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Asia Pacific,3858.4,128.0,1344,0.46,False,0.0
ARV-ZERIT-STAVUDINE,S. BUYS WHOLESALER,Europe,6200.0,51.0,20,0.09,False,0.0
ARV-VIDEX-EC-DIDANOSINE-EC,S. BUYS WHOLESALER,Europe,6200.0,51.0,100,0.64,False,0.0
ARV-ZERIT-STAVUDINE,S. BUYS WHOLESALER,Europe,6200.0,51.0,670,0.01,False,0.0
ARV-VIDEX-EC-DIDANOSINE-EC,BRISTOL-MYERS SQUIBB,Europe,6207.3,110.0,2597,0.79,False,0.0
HRDT-ORAQUICK-HIV-1-2,Orasure Technologies Inc.,Asia Pacific,16017.4,133.0,28,3.5,False,0.0
HRDT-CAPILLUS-HIV-1-2,"Trinity Biotech, Plc",Europe,9505.1,185.0,84,1.39,True,0.0
ARV-ZIAGEN-ABACAVIR,S. BUYS WHOLESALER,Europe,6200.0,51.0,30,0.58,False,0.0
ARV-GENERIC-LAMIVUDINE,Aurobindo Pharma Limited,Asia Pacific,3903.3,80.0,38640,0.04,False,0.0
ACT-COARTEM-ARTEMETHER-LUMEFANTRINE,IDA FOUNDATION,Europe,6207.1,238.0,34,0.08,False,0.0
