sku,supplier,origin_region,distance_km,historical_avg_lead_time_days,order_quantity,unit_cost_usd,is_peak_season,actual_delay_days
C2K-LEG-2H1,C2K Carrier 256.0,Asia Pacific,1950.0,3.0,1500,10.3,False,0.0
C2K-LEG-2H1,C2K Carrier 431.0,Middle East,1950.0,3.0,1500,10.3,False,0.0
C2K-LEG-1H1,C2K Carrier 700.0,North America,1950.0,3.0,1100,9.9,False,0.7
C2K-LEG-1H1,C2K Carrier 671.0,Asia Pacific,1950.0,3.0,1100,9.9,False,0.0
C2K-LEG-1H2,C2K Carrier 166.0,Middle East,3900.0,3.0,1300,11.4,False,0.5
C2K-LEG-2H1,C2K Carrier 128.0,Middle East,1950.0,3.0,1500,10.3,False,0.0
C2K-LEG-3H1,C2K Carrier 391.0,Middle East,1950.0,3.0,1900,10.7,False,0.0
C2K-LEG-2H1,C2K Carrier 128.0,Middle East,1950.0,3.0,1500,10.3,False,0.0
C2K-LEG-1H1,C2K Carrier 485.0,Europe,3015.3,4.6,1100,9.9,False,0.0
C2K-LEG-1H1,C2K Carrier 555.0,Middle East,1950.0,3.0,1100,9.9,False,0.0
C2K-LEG-2H1,C2K Carrier 128.0,Middle East,1950.0,3.0,1500,10.3,True,0.0
C2K-LEG-1H1,C2K Carrier 485.0,Europe,1950.0,3.0,1100,9.9,True,0.0
C2K-LEG-3H1,C2K Carrier 815.0,Middle East,2329.2,3.6,1900,10.7,False,0.0
C2K-LEG-2H1,C2K Carrier 128.0,Middle East,1950.0,3.0,1500,10.3,False,0.0
C2K-LEG-3H1,C2K Carrier 349.0,Europe,3015.3,4.6,1900,10.7,False,0.0
C2K-LEG-1H1,C2K Carrier 815.0,Middle East,1950.0,3.0,1100,9.9,False,0.0
C2K-LEG-2H1,C2K Carrier 548.0,Europe,1950.0,3.0,1500,10.3,False,0.0
C2K-LEG-2H1,C2K Carrier 700.0,North America,1950.0,3.0,1500,10.3,False,0.0
C2K-LEG-1H2,C2K Carrier 153.0,Asia Pacific,3900.0,3.0,1300,11.4,False,0.0
C2K-LEG-2H1,C2K Carrier 441.0,North America,1950.0,3.0,1500,10.3,False,0.0
C2K-LEG-2H1,C2K Carrier 128.0,Middle East,1950.0,3.0,1500,10.3,False,2.1
